# Assembly name:  Armga1
# Organism name:  Armillaria gallica (basidiomycete fungi)
# Infraspecific name:  strain=Ar21-2
# Taxid:          47427
# BioSample:      SAMN02745184
# BioProject:     PRJNA242129
# Submitter:      DOE Joint Genome Institute
# Date:           2017-09-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    NKEW01
# Assembly method: AllPathsLG v. R46652
# Genome coverage: 147.4x
# Sequencing technology: Illumina
# GenBank assembly accession: GCA_002307695.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002307705.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ARMGAscaffold_1	unplaced-scaffold	na	na	KZ293644.1	<>	na	Primary Assembly	4779317	na
ARMGAscaffold_2	unplaced-scaffold	na	na	KZ293645.1	<>	na	Primary Assembly	3859603	na
ARMGAscaffold_3	unplaced-scaffold	na	na	KZ293646.1	<>	na	Primary Assembly	3633241	na
ARMGAscaffold_4	unplaced-scaffold	na	na	KZ293647.1	<>	na	Primary Assembly	3337746	na
ARMGAscaffold_5	unplaced-scaffold	na	na	KZ293648.1	<>	na	Primary Assembly	2614606	na
ARMGAscaffold_6	unplaced-scaffold	na	na	KZ293649.1	<>	na	Primary Assembly	2451392	na
ARMGAscaffold_7	unplaced-scaffold	na	na	KZ293650.1	<>	na	Primary Assembly	2183736	na
ARMGAscaffold_8	unplaced-scaffold	na	na	KZ293651.1	<>	na	Primary Assembly	2009261	na
ARMGAscaffold_9	unplaced-scaffold	na	na	KZ293652.1	<>	na	Primary Assembly	1964945	na
ARMGAscaffold_10	unplaced-scaffold	na	na	KZ293653.1	<>	na	Primary Assembly	1735075	na
ARMGAscaffold_11	unplaced-scaffold	na	na	KZ293654.1	<>	na	Primary Assembly	1511491	na
ARMGAscaffold_12	unplaced-scaffold	na	na	KZ293655.1	<>	na	Primary Assembly	1474121	na
ARMGAscaffold_13	unplaced-scaffold	na	na	KZ293656.1	<>	na	Primary Assembly	1388220	na
ARMGAscaffold_14	unplaced-scaffold	na	na	KZ293657.1	<>	na	Primary Assembly	1379179	na
ARMGAscaffold_15	unplaced-scaffold	na	na	KZ293658.1	<>	na	Primary Assembly	1314557	na
ARMGAscaffold_16	unplaced-scaffold	na	na	KZ293659.1	<>	na	Primary Assembly	1277961	na
ARMGAscaffold_17	unplaced-scaffold	na	na	KZ293660.1	<>	na	Primary Assembly	1235909	na
ARMGAscaffold_18	unplaced-scaffold	na	na	KZ293661.1	<>	na	Primary Assembly	1181523	na
ARMGAscaffold_19	unplaced-scaffold	na	na	KZ293662.1	<>	na	Primary Assembly	1061795	na
ARMGAscaffold_20	unplaced-scaffold	na	na	KZ293663.1	<>	na	Primary Assembly	1046292	na
ARMGAscaffold_21	unplaced-scaffold	na	na	KZ293664.1	<>	na	Primary Assembly	1035706	na
ARMGAscaffold_22	unplaced-scaffold	na	na	KZ293665.1	<>	na	Primary Assembly	1035263	na
ARMGAscaffold_23	unplaced-scaffold	na	na	KZ293666.1	<>	na	Primary Assembly	1033558	na
ARMGAscaffold_24	unplaced-scaffold	na	na	KZ293667.1	<>	na	Primary Assembly	985342	na
ARMGAscaffold_25	unplaced-scaffold	na	na	KZ293668.1	<>	na	Primary Assembly	955398	na
ARMGAscaffold_26	unplaced-scaffold	na	na	KZ293669.1	<>	na	Primary Assembly	938983	na
ARMGAscaffold_27	unplaced-scaffold	na	na	KZ293670.1	<>	na	Primary Assembly	920327	na
ARMGAscaffold_28	unplaced-scaffold	na	na	KZ293671.1	<>	na	Primary Assembly	794763	na
ARMGAscaffold_29	unplaced-scaffold	na	na	KZ293672.1	<>	na	Primary Assembly	788905	na
ARMGAscaffold_30	unplaced-scaffold	na	na	KZ293673.1	<>	na	Primary Assembly	733246	na
ARMGAscaffold_31	unplaced-scaffold	na	na	KZ293674.1	<>	na	Primary Assembly	716036	na
