# Assembly name:  Armmel1
# Organism name:  Armillaria mellea (basidiomycete fungi)
# Infraspecific name:  strain=ELDO17
# Taxid:          47429
# BioSample:      SAMN12812551
# BioProject:     PRJNA571622
# Submitter:      DOE Joint Genome Institute
# Date:           2023-07-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAUDZF01
# Assembly method: Falcon v. 1.2.3
# Expected final version: no
# Genome coverage: 125.27x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030407055.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030407155.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
F5146scaffold_1	unplaced-scaffold	na	na	JAUDZF010000001.1	<>	na	Primary Assembly	8679113	na
F5146scaffold_10	unplaced-scaffold	na	na	JAUDZF010000010.1	<>	na	Primary Assembly	2367066	na
F5146scaffold_100	unplaced-scaffold	na	na	JAUDZF010000100.1	<>	na	Primary Assembly	63979	na
F5146scaffold_101	unplaced-scaffold	na	na	JAUDZF010000101.1	<>	na	Primary Assembly	63124	na
F5146scaffold_102	unplaced-scaffold	na	na	JAUDZF010000102.1	<>	na	Primary Assembly	62871	na
F5146scaffold_103	unplaced-scaffold	na	na	JAUDZF010000103.1	<>	na	Primary Assembly	62447	na
F5146scaffold_104	unplaced-scaffold	na	na	JAUDZF010000104.1	<>	na	Primary Assembly	62320	na
F5146scaffold_105	unplaced-scaffold	na	na	JAUDZF010000105.1	<>	na	Primary Assembly	61937	na
F5146scaffold_106	unplaced-scaffold	na	na	JAUDZF010000106.1	<>	na	Primary Assembly	61289	na
F5146scaffold_107	unplaced-scaffold	na	na	JAUDZF010000107.1	<>	na	Primary Assembly	60481	na
F5146scaffold_108	unplaced-scaffold	na	na	JAUDZF010000108.1	<>	na	Primary Assembly	60096	na
F5146scaffold_109	unplaced-scaffold	na	na	JAUDZF010000109.1	<>	na	Primary Assembly	59959	na
F5146scaffold_11	unplaced-scaffold	na	na	JAUDZF010000011.1	<>	na	Primary Assembly	1616703	na
F5146scaffold_110	unplaced-scaffold	na	na	JAUDZF010000110.1	<>	na	Primary Assembly	59512	na
F5146scaffold_111	unplaced-scaffold	na	na	JAUDZF010000111.1	<>	na	Primary Assembly	58981	na
F5146scaffold_112	unplaced-scaffold	na	na	JAUDZF010000112.1	<>	na	Primary Assembly	58684	na
F5146scaffold_113	unplaced-scaffold	na	na	JAUDZF010000113.1	<>	na	Primary Assembly	58160	na
F5146scaffold_114	unplaced-scaffold	na	na	JAUDZF010000114.1	<>	na	Primary Assembly	57710	na
F5146scaffold_115	unplaced-scaffold	na	na	JAUDZF010000115.1	<>	na	Primary Assembly	57508	na
F5146scaffold_116	unplaced-scaffold	na	na	JAUDZF010000116.1	<>	na	Primary Assembly	55897	na
F5146scaffold_117	unplaced-scaffold	na	na	JAUDZF010000117.1	<>	na	Primary Assembly	54799	na
F5146scaffold_118	unplaced-scaffold	na	na	JAUDZF010000118.1	<>	na	Primary Assembly	54754	na
F5146scaffold_119	unplaced-scaffold	na	na	JAUDZF010000119.1	<>	na	Primary Assembly	54188	na
