# Assembly name:  Armnov1
# Organism name:  Armillaria novae-zelandiae (basidiomycete fungi)
# Infraspecific name:  strain=ICMP 16352
# Taxid:          153914
# BioSample:      SAMN16773852
# BioProject:     PRJNA677793
# Submitter:      DOE Joint Genome Institute
# Date:           2023-07-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAUEPR01
# Assembly method: Falcon v. 1.2.3
# Expected final version: no
# Genome coverage: 251.62x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030435655.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030435665.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
IW261scaffold_1	unplaced-scaffold	na	na	JAUEPR010000001.1	<>	na	Primary Assembly	4211269	na
IW261scaffold_2	unplaced-scaffold	na	na	JAUEPR010000002.1	<>	na	Primary Assembly	3362405	na
IW261scaffold_3	unplaced-scaffold	na	na	JAUEPR010000003.1	<>	na	Primary Assembly	3214792	na
IW261scaffold_4	unplaced-scaffold	na	na	JAUEPR010000004.1	<>	na	Primary Assembly	2855967	na
IW261scaffold_5	unplaced-scaffold	na	na	JAUEPR010000005.1	<>	na	Primary Assembly	2626401	na
IW261scaffold_6	unplaced-scaffold	na	na	JAUEPR010000006.1	<>	na	Primary Assembly	2468563	na
IW261scaffold_7	unplaced-scaffold	na	na	JAUEPR010000007.1	<>	na	Primary Assembly	2037916	na
IW261scaffold_8	unplaced-scaffold	na	na	JAUEPR010000008.1	<>	na	Primary Assembly	2030563	na
IW261scaffold_9	unplaced-scaffold	na	na	JAUEPR010000009.1	<>	na	Primary Assembly	1374049	na
IW261scaffold_10	unplaced-scaffold	na	na	JAUEPR010000010.1	<>	na	Primary Assembly	1179209	na
