# Assembly name:  Armlut1
# Organism name:  Armillaria luteobubalina (basidiomycete fungi)
# Infraspecific name:  strain=HWK02
# Taxid:          153913
# BioSample:      SAMN10363187
# BioProject:     PRJNA500536
# Submitter:      DOE Joint Genome Institute
# Date:           2023-07-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAUEPU01
# Assembly method: Falcon v. 1.8.8
# Expected final version: no
# Genome coverage: 47.28x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030435615.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030435625.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
EDD18scaffold_1	unplaced-scaffold	na	na	JAUEPU010000001.1	<>	na	Primary Assembly	3687455	na
EDD18scaffold_2	unplaced-scaffold	na	na	JAUEPU010000002.1	<>	na	Primary Assembly	3508384	na
EDD18scaffold_3	unplaced-scaffold	na	na	JAUEPU010000003.1	<>	na	Primary Assembly	2975757	na
EDD18scaffold_4	unplaced-scaffold	na	na	JAUEPU010000004.1	<>	na	Primary Assembly	2786072	na
EDD18scaffold_5	unplaced-scaffold	na	na	JAUEPU010000005.1	<>	na	Primary Assembly	2706116	na
EDD18scaffold_6	unplaced-scaffold	na	na	JAUEPU010000006.1	<>	na	Primary Assembly	2243320	na
EDD18scaffold_7	unplaced-scaffold	na	na	JAUEPU010000007.1	<>	na	Primary Assembly	2180935	na
EDD18scaffold_8	unplaced-scaffold	na	na	JAUEPU010000008.1	<>	na	Primary Assembly	2090224	na
EDD18scaffold_9	unplaced-scaffold	na	na	JAUEPU010000009.1	<>	na	Primary Assembly	2047363	na
EDD18scaffold_10	unplaced-scaffold	na	na	JAUEPU010000010.1	<>	na	Primary Assembly	1949712	na
EDD18scaffold_11	unplaced-scaffold	na	na	JAUEPU010000011.1	<>	na	Primary Assembly	1836491	na
EDD18scaffold_12	unplaced-scaffold	na	na	JAUEPU010000012.1	<>	na	Primary Assembly	1662019	na
EDD18scaffold_13	unplaced-scaffold	na	na	JAUEPU010000013.1	<>	na	Primary Assembly	1616179	na
EDD18scaffold_14	unplaced-scaffold	na	na	JAUEPU010000014.1	<>	na	Primary Assembly	1613805	na
EDD18scaffold_15	unplaced-scaffold	na	na	JAUEPU010000015.1	<>	na	Primary Assembly	1465877	na
EDD18scaffold_16	unplaced-scaffold	na	na	JAUEPU010000016.1	<>	na	Primary Assembly	1387570	na
EDD18scaffold_17	unplaced-scaffold	na	na	JAUEPU010000017.1	<>	na	Primary Assembly	1315958	na
EDD18scaffold_18	unplaced-scaffold	na	na	JAUEPU010000018.1	<>	na	Primary Assembly	1225689	na
EDD18scaffold_19	unplaced-scaffold	na	na	JAUEPU010000019.1	<>	na	Primary Assembly	1206565	na
EDD18scaffold_20	unplaced-scaffold	na	na	JAUEPU010000020.1	<>	na	Primary Assembly	1187506	na
EDD18scaffold_21	unplaced-scaffold	na	na	JAUEPU010000021.1	<>	na	Primary Assembly	1178437	na
