# Assembly name:  Armbor1
# Organism name:  Armillaria borealis (basidiomycete fungi)
# Infraspecific name:  strain=FPL87.14
# Taxid:          47425
# BioSample:      SAMN10865533
# BioProject:     PRJNA519861
# Submitter:      DOE Joint Genome Institute
# Date:           2023-07-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAUEPT01
# Assembly method: Falcon v. 1.8.8
# Expected final version: no
# Genome coverage: 386.53x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030435635.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030435645.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
EV421scaffold_1	unplaced-scaffold	na	na	JAUEPT010000001.1	<>	na	Primary Assembly	2990996	na
EV421scaffold_2	unplaced-scaffold	na	na	JAUEPT010000002.1	<>	na	Primary Assembly	2252429	na
EV421scaffold_3	unplaced-scaffold	na	na	JAUEPT010000003.1	<>	na	Primary Assembly	2241763	na
EV421scaffold_4	unplaced-scaffold	na	na	JAUEPT010000004.1	<>	na	Primary Assembly	1353195	na
EV421scaffold_5	unplaced-scaffold	na	na	JAUEPT010000005.1	<>	na	Primary Assembly	1292685	na
EV421scaffold_6	unplaced-scaffold	na	na	JAUEPT010000006.1	<>	na	Primary Assembly	1238954	na
EV421scaffold_7	unplaced-scaffold	na	na	JAUEPT010000007.1	<>	na	Primary Assembly	1208154	na
EV421scaffold_8	unplaced-scaffold	na	na	JAUEPT010000008.1	<>	na	Primary Assembly	1161047	na
EV421scaffold_9	unplaced-scaffold	na	na	JAUEPT010000009.1	<>	na	Primary Assembly	1088452	na
EV421scaffold_10	unplaced-scaffold	na	na	JAUEPT010000010.1	<>	na	Primary Assembly	931010	na
EV421scaffold_11	unplaced-scaffold	na	na	JAUEPT010000011.1	<>	na	Primary Assembly	916093	na
EV421scaffold_12	unplaced-scaffold	na	na	JAUEPT010000012.1	<>	na	Primary Assembly	884158	na
EV421scaffold_13	unplaced-scaffold	na	na	JAUEPT010000013.1	<>	na	Primary Assembly	847610	na
EV421scaffold_14	unplaced-scaffold	na	na	JAUEPT010000014.1	<>	na	Primary Assembly	754303	na
EV421scaffold_15	unplaced-scaffold	na	na	JAUEPT010000015.1	<>	na	Primary Assembly	752117	na
EV421scaffold_16	unplaced-scaffold	na	na	JAUEPT010000016.1	<>	na	Primary Assembly	626957	na
EV421scaffold_17	unplaced-scaffold	na	na	JAUEPT010000017.1	<>	na	Primary Assembly	619994	na
EV421scaffold_18	unplaced-scaffold	na	na	JAUEPT010000018.1	<>	na	Primary Assembly	614486	na
EV421scaffold_19	unplaced-scaffold	na	na	JAUEPT010000019.1	<>	na	Primary Assembly	583457	na
EV421scaffold_20	unplaced-scaffold	na	na	JAUEPT010000020.1	<>	na	Primary Assembly	583022	na
EV421scaffold_21	unplaced-scaffold	na	na	JAUEPT010000021.1	<>	na	Primary Assembly	571861	na
EV421scaffold_22	unplaced-scaffold	na	na	JAUEPT010000022.1	<>	na	Primary Assembly	529727	na
EV421scaffold_23	unplaced-scaffold	na	na	JAUEPT010000023.1	<>	na	Primary Assembly	514850	na
EV421scaffold_24	unplaced-scaffold	na	na	JAUEPT010000024.1	<>	na	Primary Assembly	504879	na
EV421scaffold_25	unplaced-scaffold	na	na	JAUEPT010000025.1	<>	na	Primary Assembly	503252	na
EV421scaffold_26	unplaced-scaffold	na	na	JAUEPT010000026.1	<>	na	Primary Assembly	494243	na
EV421scaffold_27	unplaced-scaffold	na	na	JAUEPT010000027.1	<>	na	Primary Assembly	492314	na
EV421scaffold_28	unplaced-scaffold	na	na	JAUEPT010000028.1	<>	na	Primary Assembly	490190	na
EV421scaffold_29	unplaced-scaffold	na	na	JAUEPT010000029.1	<>	na	Primary Assembly	488329	na
EV421scaffold_30	unplaced-scaffold	na	na	JAUEPT010000030.1	<>	na	Primary Assembly	487887	na
EV421scaffold_31	unplaced-scaffold	na	na	JAUEPT010000031.1	<>	na	Primary Assembly	487427	na
EV421scaffold_32	unplaced-scaffold	na	na	JAUEPT010000032.1	<>	na	Primary Assembly	464267	na
EV421scaffold_33	unplaced-scaffold	na	na	JAUEPT010000033.1	<>	na	Primary Assembly	461708	na
EV421scaffold_34	unplaced-scaffold	na	na	JAUEPT010000034.1	<>	na	Primary Assembly	458826	na
EV421scaffold_35	unplaced-scaffold	na	na	JAUEPT010000035.1	<>	na	Primary Assembly	457500	na
EV421scaffold_36	unplaced-scaffold	na	na	JAUEPT010000036.1	<>	na	Primary Assembly	441681	na
EV421scaffold_37	unplaced-scaffold	na	na	JAUEPT010000037.1	<>	na	Primary Assembly	439450	na
EV421scaffold_38	unplaced-scaffold	na	na	JAUEPT010000038.1	<>	na	Primary Assembly	415346	na
EV421scaffold_39	unplaced-scaffold	na	na	JAUEPT010000039.1	<>	na	Primary Assembly	407830	na
EV421scaffold_40	unplaced-scaffold	na	na	JAUEPT010000040.1	<>	na	Primary Assembly	402434	na
EV421scaffold_41	unplaced-scaffold	na	na	JAUEPT010000041.1	<>	na	Primary Assembly	388976	na
EV421scaffold_42	unplaced-scaffold	na	na	JAUEPT010000042.1	<>	na	Primary Assembly	387676	na
EV421scaffold_43	unplaced-scaffold	na	na	JAUEPT010000043.1	<>	na	Primary Assembly	379167	na
EV421scaffold_44	unplaced-scaffold	na	na	JAUEPT010000044.1	<>	na	Primary Assembly	377810	na
EV421scaffold_45	unplaced-scaffold	na	na	JAUEPT010000045.1	<>	na	Primary Assembly	373182	na
EV421scaffold_46	unplaced-scaffold	na	na	JAUEPT010000046.1	<>	na	Primary Assembly	365151	na
EV421scaffold_47	unplaced-scaffold	na	na	JAUEPT010000047.1	<>	na	Primary Assembly	364499	na
EV421scaffold_48	unplaced-scaffold	na	na	JAUEPT010000048.1	<>	na	Primary Assembly	357721	na
EV421scaffold_49	unplaced-scaffold	na	na	JAUEPT010000049.1	<>	na	Primary Assembly	357187	na
EV421scaffold_50	unplaced-scaffold	na	na	JAUEPT010000050.1	<>	na	Primary Assembly	355568	na
EV421scaffold_51	unplaced-scaffold	na	na	JAUEPT010000051.1	<>	na	Primary Assembly	338800	na
EV421scaffold_52	unplaced-scaffold	na	na	JAUEPT010000052.1	<>	na	Primary Assembly	336191	na
EV421scaffold_53	unplaced-scaffold	na	na	JAUEPT010000053.1	<>	na	Primary Assembly	335092	na
EV421scaffold_54	unplaced-scaffold	na	na	JAUEPT010000054.1	<>	na	Primary Assembly	331785	na
EV421scaffold_55	unplaced-scaffold	na	na	JAUEPT010000055.1	<>	na	Primary Assembly	328697	na
EV421scaffold_56	unplaced-scaffold	na	na	JAUEPT010000056.1	<>	na	Primary Assembly	325574	na
EV421scaffold_57	unplaced-scaffold	na	na	JAUEPT010000057.1	<>	na	Primary Assembly	324355	na
EV421scaffold_58	unplaced-scaffold	na	na	JAUEPT010000058.1	<>	na	Primary Assembly	323449	na
EV421scaffold_59	unplaced-scaffold	na	na	JAUEPT010000059.1	<>	na	Primary Assembly	322619	na
EV421scaffold_60	unplaced-scaffold	na	na	JAUEPT010000060.1	<>	na	Primary Assembly	319578	na
EV421scaffold_61	unplaced-scaffold	na	na	JAUEPT010000061.1	<>	na	Primary Assembly	314189	na
EV421scaffold_62	unplaced-scaffold	na	na	JAUEPT010000062.1	<>	na	Primary Assembly	304221	na
EV421scaffold_63	unplaced-scaffold	na	na	JAUEPT010000063.1	<>	na	Primary Assembly	295376	na
EV421scaffold_64	unplaced-scaffold	na	na	JAUEPT010000064.1	<>	na	Primary Assembly	291896	na
EV421scaffold_65	unplaced-scaffold	na	na	JAUEPT010000065.1	<>	na	Primary Assembly	291282	na
EV421scaffold_66	unplaced-scaffold	na	na	JAUEPT010000066.1	<>	na	Primary Assembly	289260	na
EV421scaffold_67	unplaced-scaffold	na	na	JAUEPT010000067.1	<>	na	Primary Assembly	287505	na
EV421scaffold_68	unplaced-scaffold	na	na	JAUEPT010000068.1	<>	na	Primary Assembly	282438	na
EV421scaffold_69	unplaced-scaffold	na	na	JAUEPT010000069.1	<>	na	Primary Assembly	276613	na
EV421scaffold_70	unplaced-scaffold	na	na	JAUEPT010000070.1	<>	na	Primary Assembly	273084	na
EV421scaffold_71	unplaced-scaffold	na	na	JAUEPT010000071.1	<>	na	Primary Assembly	269886	na
EV421scaffold_72	unplaced-scaffold	na	na	JAUEPT010000072.1	<>	na	Primary Assembly	267152	na
EV421scaffold_73	unplaced-scaffold	na	na	JAUEPT010000073.1	<>	na	Primary Assembly	264787	na
