# Assembly name:  Armost1
# Organism name:  Armillaria solidipes (basidiomycete fungi)
# Infraspecific name:  strain=28-4
# Taxid:          1076256
# BioSample:      SAMN05446393
# BioProject:     PRJNA334329
# Submitter:      DOE Joint Genome Institute
# Date:           2017-09-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    NKHM01
# Assembly method: AllPathsLG v. R49403
# Genome coverage: 67.6x
# Sequencing technology: Illumina
# GenBank assembly accession: GCA_002307675.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002307685.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ARMSOscaffold_1	unplaced-scaffold	na	na	KZ293415.1	<>	na	Primary Assembly	3399694	na
ARMSOscaffold_2	unplaced-scaffold	na	na	KZ293416.1	<>	na	Primary Assembly	3375826	na
ARMSOscaffold_3	unplaced-scaffold	na	na	KZ293417.1	<>	na	Primary Assembly	2250350	na
ARMSOscaffold_4	unplaced-scaffold	na	na	KZ293418.1	<>	na	Primary Assembly	1788850	na
ARMSOscaffold_5	unplaced-scaffold	na	na	KZ293419.1	<>	na	Primary Assembly	1648145	na
ARMSOscaffold_6	unplaced-scaffold	na	na	KZ293420.1	<>	na	Primary Assembly	1637074	na
ARMSOscaffold_7	unplaced-scaffold	na	na	KZ293421.1	<>	na	Primary Assembly	1497939	na
ARMSOscaffold_8	unplaced-scaffold	na	na	KZ293422.1	<>	na	Primary Assembly	1479673	na
ARMSOscaffold_9	unplaced-scaffold	na	na	KZ293423.1	<>	na	Primary Assembly	1373770	na
ARMSOscaffold_10	unplaced-scaffold	na	na	KZ293424.1	<>	na	Primary Assembly	1265512	na
ARMSOscaffold_11	unplaced-scaffold	na	na	KZ293425.1	<>	na	Primary Assembly	1241413	na
