# Assembly name:  version 2
# Organism name:  Armillaria ostoyae (basidiomycete fungi)
# Infraspecific name:  strain=C18/9
# Taxid:          47428
# BioSample:      SAMEA54519418
# BioProject:     PRJEB19205
# Submitter:      Technische Universitat Munchen - WZW
# Date:           2017-09-28
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    FUEG01
# Genome coverage: 60x
# GenBank assembly accession: GCA_900157425.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900157424.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
FUEG01000105.1	unplaced-scaffold	na	na	FUEG01000105.1	<>	na	Primary Assembly	5284	na
FUEG01000100.1	unplaced-scaffold	na	na	FUEG01000100.1	<>	na	Primary Assembly	10995	na
FUEG01000099.1	unplaced-scaffold	na	na	FUEG01000099.1	<>	na	Primary Assembly	11586	na
FUEG01000098.1	unplaced-scaffold	na	na	FUEG01000098.1	<>	na	Primary Assembly	11728	na
FUEG01000097.1	unplaced-scaffold	na	na	FUEG01000097.1	<>	na	Primary Assembly	12390	na
FUEG01000041.1	unplaced-scaffold	na	na	FUEG01000041.1	<>	na	Primary Assembly	294811	na
FUEG01000015.1	unplaced-scaffold	na	na	FUEG01000015.1	<>	na	Primary Assembly	973045	na
FUEG01000089.1	unplaced-scaffold	na	na	FUEG01000089.1	<>	na	Primary Assembly	16585	na
FUEG01000042.1	unplaced-scaffold	na	na	FUEG01000042.1	<>	na	Primary Assembly	293205	na
FUEG01000106.1	unplaced-scaffold	na	na	FUEG01000106.1	<>	na	Primary Assembly	4960	na
FUEG01000052.1	unplaced-scaffold	na	na	FUEG01000052.1	<>	na	Primary Assembly	207959	na
FUEG01000037.1	unplaced-scaffold	na	na	FUEG01000037.1	<>	na	Primary Assembly	338344	na
FUEG01000034.1	unplaced-scaffold	na	na	FUEG01000034.1	<>	na	Primary Assembly	420633	na
FUEG01000033.1	unplaced-scaffold	na	na	FUEG01000033.1	<>	na	Primary Assembly	430646	na
FUEG01000024.1	unplaced-scaffold	na	na	FUEG01000024.1	<>	na	Primary Assembly	618723	na
FUEG01000044.1	unplaced-scaffold	na	na	FUEG01000044.1	<>	na	Primary Assembly	249597	na
FUEG01000040.1	unplaced-scaffold	na	na	FUEG01000040.1	<>	na	Primary Assembly	322976	na
FUEG01000079.1	unplaced-scaffold	na	na	FUEG01000079.1	<>	na	Primary Assembly	39794	na
FUEG01000030.1	unplaced-scaffold	na	na	FUEG01000030.1	<>	na	Primary Assembly	474379	na
FUEG01000018.1	unplaced-scaffold	na	na	FUEG01000018.1	<>	na	Primary Assembly	919912	na
FUEG01000017.1	unplaced-scaffold	na	na	FUEG01000017.1	<>	na	Primary Assembly	929979	na
FUEG01000029.1	unplaced-scaffold	na	na	FUEG01000029.1	<>	na	Primary Assembly	482450	na
FUEG01000028.1	unplaced-scaffold	na	na	FUEG01000028.1	<>	na	Primary Assembly	498778	na
FUEG01000032.1	unplaced-scaffold	na	na	FUEG01000032.1	<>	na	Primary Assembly	454289	na
FUEG01000026.1	unplaced-scaffold	na	na	FUEG01000026.1	<>	na	Primary Assembly	557740	na
FUEG01000095.1	unplaced-scaffold	na	na	FUEG01000095.1	<>	na	Primary Assembly	12793	na
FUEG01000023.1	unplaced-scaffold	na	na	FUEG01000023.1	<>	na	Primary Assembly	625327	na
FUEG01000102.1	unplaced-scaffold	na	na	FUEG01000102.1	<>	na	Primary Assembly	8723	na
FUEG01000009.1	unplaced-scaffold	na	na	FUEG01000009.1	<>	na	Primary Assembly	2283935	na
FUEG01000086.1	unplaced-scaffold	na	na	FUEG01000086.1	<>	na	Primary Assembly	19410	na
FUEG01000045.1	unplaced-scaffold	na	na	FUEG01000045.1	<>	na	Primary Assembly	247006	na
FUEG01000005.1	unplaced-scaffold	na	na	FUEG01000005.1	<>	na	Primary Assembly	2692635	na
FUEG01000101.1	unplaced-scaffold	na	na	FUEG01000101.1	<>	na	Primary Assembly	9921	na
