# Assembly name:  Armnab1
# Organism name:  Armillaria nabsnona (basidiomycete fungi)
# Infraspecific name:  strain=CMW6904
# Taxid:          64368
# BioSample:      SAMN10362911
# BioProject:     PRJNA500837
# Submitter:      DOE Joint Genome Institute
# Date:           2023-07-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAUDQA01
# Assembly method: Falcon v. 1.8.8
# Expected final version: no
# Genome coverage: 386.53x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030407065.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030407075.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
EDD85scaffold_1	unplaced-scaffold	na	na	JAUDQA010000001.1	<>	na	Primary Assembly	4523863	na
EDD85scaffold_10	unplaced-scaffold	na	na	JAUDQA010000010.1	<>	na	Primary Assembly	2451222	na
EDD85scaffold_11	unplaced-scaffold	na	na	JAUDQA010000011.1	<>	na	Primary Assembly	1857177	na
EDD85scaffold_12	unplaced-scaffold	na	na	JAUDQA010000012.1	<>	na	Primary Assembly	1807391	na
EDD85scaffold_13	unplaced-scaffold	na	na	JAUDQA010000013.1	<>	na	Primary Assembly	1434380	na
EDD85scaffold_14	unplaced-scaffold	na	na	JAUDQA010000014.1	<>	na	Primary Assembly	1266952	na
EDD85scaffold_15	unplaced-scaffold	na	na	JAUDQA010000015.1	<>	na	Primary Assembly	1253279	na
EDD85scaffold_16	unplaced-scaffold	na	na	JAUDQA010000016.1	<>	na	Primary Assembly	1250954	na
EDD85scaffold_17	unplaced-scaffold	na	na	JAUDQA010000017.1	<>	na	Primary Assembly	1182169	na
EDD85scaffold_18	unplaced-scaffold	na	na	JAUDQA010000018.1	<>	na	Primary Assembly	1076137	na
EDD85scaffold_19	unplaced-scaffold	na	na	JAUDQA010000019.1	<>	na	Primary Assembly	994713	na
EDD85scaffold_2	unplaced-scaffold	na	na	JAUDQA010000002.1	<>	na	Primary Assembly	4339949	na
EDD85scaffold_20	unplaced-scaffold	na	na	JAUDQA010000020.1	<>	na	Primary Assembly	957456	na
EDD85scaffold_21	unplaced-scaffold	na	na	JAUDQA010000021.1	<>	na	Primary Assembly	897131	na
EDD85scaffold_22	unplaced-scaffold	na	na	JAUDQA010000022.1	<>	na	Primary Assembly	825522	na
EDD85scaffold_23	unplaced-scaffold	na	na	JAUDQA010000023.1	<>	na	Primary Assembly	687559	na
EDD85scaffold_24	unplaced-scaffold	na	na	JAUDQA010000024.1	<>	na	Primary Assembly	679009	na
EDD85scaffold_25	unplaced-scaffold	na	na	JAUDQA010000025.1	<>	na	Primary Assembly	631973	na
EDD85scaffold_26	unplaced-scaffold	na	na	JAUDQA010000026.1	<>	na	Primary Assembly	608034	na
EDD85scaffold_27	unplaced-scaffold	na	na	JAUDQA010000027.1	<>	na	Primary Assembly	594540	na
EDD85scaffold_28	unplaced-scaffold	na	na	JAUDQA010000028.1	<>	na	Primary Assembly	578926	na
EDD85scaffold_29	unplaced-scaffold	na	na	JAUDQA010000029.1	<>	na	Primary Assembly	570828	na
EDD85scaffold_3	unplaced-scaffold	na	na	JAUDQA010000003.1	<>	na	Primary Assembly	4187090	na
EDD85scaffold_30	unplaced-scaffold	na	na	JAUDQA010000030.1	<>	na	Primary Assembly	534645	na
